id;aluno_id;materia_id;data;presente
1;350;23;2025-02-15;0
2;2927;17;2025-03-12;0
3;1807;23;2025-03-25;0
4;352;6;2025-03-10;0
5;2855;21;2025-02-03;0
6;1056;5;2025-04-12;1
7;2775;16;2025-03-31;1
8;1075;8;2025-03-20;0
9;1633;27;2025-04-14;0
10;2299;10;2025-01-25;1
11;2736;15;2025-03-08;1
12;1192;7;2025-04-23;1
13;179;11;2025-01-30;0
14;2996;19;2025-04-15;1
15;1682;27;2025-02-24;0
16;2996;11;2025-03-12;0
17;461;28;2025-02-23;0
18;529;5;2025-03-18;0
19;1971;12;2025-04-10;1
20;813;9;2025-03-31;1
21;413;12;2025-03-04;0
22;2309;8;2025-02-08;0
23;650;12;2025-04-06;0
24;1289;9;2025-02-01;0
25;2700;14;2025-04-27;0
26;496;13;2025-03-18;0
27;2685;5;2025-03-10;0
28;2394;27;2025-01-27;0
29;1068;29;2025-04-19;0
30;3001;24;2025-02-05;0
31;2142;11;2025-03-08;1
32;722;28;2025-01-16;1
33;2401;12;2025-04-25;1
34;2621;8;2025-01-28;1
35;1148;5;2025-04-16;0
36;1281;6;2025-01-22;0
37;763;25;2025-02-06;1
38;2105;14;2025-04-19;0
39;580;4;2025-03-26;0
40;176;4;2025-02-25;1
41;2601;7;2025-02-25;1
42;2091;16;2025-01-08;0
43;1196;29;2025-02-01;0
44;1846;30;2025-02-12;1
45;44;13;2025-04-04;0
46;1141;6;2025-03-27;0
47;687;25;2025-04-25;1
48;2881;28;2025-01-03;0
49;1143;27;2025-04-09;0
50;531;30;2025-03-29;1
51;1753;16;2025-02-22;0
52;2196;1;2025-03-07;0
53;1404;25;2025-02-05;1
54;891;2;2025-02-13;1
55;1070;5;2025-03-15;1
56;1860;5;2025-04-11;1
57;1056;10;2025-03-19;0
58;1139;20;2025-01-25;1
59;403;7;2025-01-24;1
60;3064;13;2025-04-22;0
61;1364;20;2025-04-16;1
62;1477;3;2025-03-05;0
63;1386;30;2025-04-12;0
64;2970;26;2025-03-07;1
65;823;13;2025-03-29;0
66;401;15;2025-01-21;1
67;2732;17;2025-02-06;0
68;1366;15;2025-03-04;1
69;1341;12;2025-03-13;0
70;3113;4;2025-03-07;1
71;134;17;2025-04-26;0
72;2832;9;2025-04-26;0
73;632;20;2025-04-13;0
74;3108;16;2025-04-15;1
75;2164;22;2025-01-12;0
76;1337;25;2025-01-17;1
77;3083;13;2025-01-03;1
78;2662;7;2025-04-01;1
79;1961;15;2025-04-01;0
80;1693;15;2025-03-24;0
81;2399;1;2025-04-21;1
82;3002;20;2025-01-30;0
83;1139;20;2025-03-11;1
84;2499;11;2025-04-05;1
85;2882;5;2025-03-23;0
86;701;17;2025-04-19;0
87;2947;23;2025-03-15;0
88;1253;11;2025-02-24;0
89;2409;26;2025-03-13;0
90;562;27;2025-01-18;1
