id;aluno_id;avaliacao_id;nota
1;1351;88;0.05
2;2807;36;9.03
3;3024;34;3.63
4;1843;77;1.58
5;1027;83;7.08
6;2807;39;9.27
7;66;39;0.03
8;1919;84;1.9
9;2768;8;8.84
10;466;25;4.72
11;2618;45;6.12
12;2370;85;9.46
13;2854;47;7.54
14;2238;83;4.79
15;1641;53;6.89
16;2651;45;6.51
17;1605;51;1.33
18;2589;59;3.85
19;3012;10;2.96
20;1223;35;1.07
21;1581;84;3.61
22;1118;73;6.35
23;2809;36;0.84
24;1150;5;3.73
25;1668;60;5.29
26;2026;99;7.46
27;2514;14;5.28
28;2032;91;4.51
29;1395;91;8.4
30;2346;6;4.92
31;1720;29;9.01
32;2999;88;9.14
33;142;83;6.26
34;3034;86;3.29
35;1664;53;8.3
36;1506;29;8.1
37;1653;39;9.55
38;339;60;6.15
39;1468;45;2.63
40;2966;84;4.02
41;749;20;5.32
42;2482;83;8.87
43;2699;61;0.99
44;2633;58;6.85
45;3059;47;8.29
46;1621;82;0.48
47;1186;46;2.72
48;1095;45;0.98
49;884;34;1.97
50;218;59;3.13
51;2037;14;6.17
52;281;57;9.99
53;1410;96;1.4
54;2358;49;0.03
55;1610;87;1.19
56;1457;51;3.82
57;873;80;7.59
58;1992;53;1.8
59;2891;43;2.53
60;2289;15;6.84
61;1945;6;9.64
62;1258;98;0.07
63;1370;96;4.05
64;2283;84;1.14
65;1637;7;4.07
66;2960;42;9.91
67;2934;74;2.01
68;2569;54;1.03
69;2856;75;4.07
70;1171;77;4.92
71;466;90;2.38
72;1672;78;0.66
73;2433;9;2.69
74;632;6;5.15
75;2138;62;8.26
76;2843;97;4.29
77;94;62;5.42
78;680;84;0.13
79;774;14;2.65
80;2146;11;9.0
81;2725;54;7.47
82;724;25;5.46
83;2648;23;2.12
84;2387;86;8.17
85;1584;54;3.24
86;607;6;9.06
87;1374;19;4.08
88;1105;84;8.32
89;3046;87;9.58
90;967;58;2.96
91;495;17;8.15
92;1882;12;9.92
93;2208;38;3.32
94;351;14;6.34
95;2079;80;2.64
96;1933;72;9.94
97;574;80;7.7
98;2495;4;4.73
99;832;87;2.16
100;974;5;0.94
101;2182;3;6.75
102;793;33;0.56
103;578;72;1.3
104;2447;7;3.96
105;1254;95;5.7
106;1605;52;9.04
107;2213;46;7.67
108;258;80;3.28
109;66;90;3.79
110;1478;59;1.14
111;902;81;5.58
112;69;94;8.34
113;537;60;1.81
114;840;72;3.67
115;542;67;9.77
116;367;44;6.32
117;2495;31;2.59
118;964;14;6.56
119;796;67;0.98
120;2665;65;6.83
121;2414;15;9.25
122;1217;24;6.47
123;453;7;1.37
124;1181;65;2.4
125;1650;77;8.64
126;2864;95;5.5
127;2927;61;7.84
128;2004;46;1.57
129;2013;90;6.29
130;1172;92;3.3
131;508;70;2.91
132;90;27;9.33
133;1918;87;2.23
134;900;74;9.13
135;630;46;1.94
136;3098;40;2.55
137;2231;5;9.9
138;1736;78;3.74
139;214;63;8.08
140;2553;16;7.28
141;989;39;8.51
142;1142;52;7.73
143;1596;19;3.83
144;1005;69;0.16
145;1338;87;6.6
146;1759;18;5.16
147;2399;47;4.64
148;1955;33;3.23
149;1484;62;1.72
150;1823;25;7.96
151;2217;65;1.83
152;2454;28;4.69
153;1704;69;7.62
154;2673;17;6.14
155;2464;73;1.6
156;2845;3;0.87
157;1843;65;2.84
